id,brand,categories,ingredients,manufacturer,manufacturerNumber,name,text_corpus
10,Badia,"Food,Grocery","anise seed used mainly to add flavor to cordials and liqueurs*newline*,used in france to seasoning fish,soup,seafood and shellfish*newline*,used in india on vegetables and seafood dishes*newline*,one of the most delicate herb plants related to dill,fennel and cumin*newline*,gluten free",Badia Spices Inc.,450028N,"Badia Anise Seed, .5 Oz","This product is a Badia Anise Seed, .5 Oz from the brand Badia. It falls under the category of food,grocery and contains ingredients such as anise seed used mainly to add flavor to cordials and liqueurs*newline*,used in france to seasoning fish,soup,seafood and shellfish*newline*,used in india on vegetables and seafood dishes*newline*,one of the most delicate herb plants related to dill,fennel and cumin*newline*,gluten free. It is manufactured by badia spices inc. (manufacturer code: 450028n)."
11,Tones,"Food,Grocery","garlic powder. 1/4 teaspoon garlic powder = 1 medium garlic clove,since 1873",Tone's,53444,"Tone'S Garlic Powder, 2.88 Oz","This product is a Tone'S Garlic Powder, 2.88 Oz from the brand Tones. It falls under the category of food,grocery and contains ingredients such as garlic powder. 1/4 teaspoon garlic powder = 1 medium garlic clove,since 1873. It is manufactured by tone's (manufacturer code: 53444)."
12,Cornnuts,"Food,Grocery","corn,partially hydrogenated soybean and/or canola oil,salt,buttermilk,tomato and onion and garlic powders,monosodium glutamate (flavor enhancer),corn syrup solids,sugar,cheddar cheese (made from cultured milk, salt and enzymes),natural and artificial flavor,lactic and malic acids (for tartness),spices,sodium diacetate (for tartness),parsley flakes,sodium citrate,disodium phosphate,artificial color (includes red 40 lake),citric acid,disodium inosinate and disodium guanylate (flavor enhancers),sodium caseinate,mono- and diglycerides (emulsifier),degermed yellow corn meal,soybean oil.",Kraft,4.05001E+12,Cornnuts Ranch Bag,"This product is a Cornnuts Ranch Bag from the brand Cornnuts. It falls under the category of food,grocery and contains ingredients such as corn,partially hydrogenated soybean and/or canola oil,salt,buttermilk,tomato and onion and garlic powders,monosodium glutamate (flavor enhancer),corn syrup solids,sugar,cheddar cheese (made from cultured milk, salt and enzymes),natural and artificial flavor,lactic and malic acids (for tartness),spices,sodium diacetate (for tartness),parsley flakes,sodium citrate,disodium phosphate,artificial color (includes red 40 lake),citric acid,disodium inosinate and disodium guanylate (flavor enhancers),sodium caseinate,mono- and diglycerides (emulsifier),degermed yellow corn meal,soybean oil.. It is manufactured by kraft (manufacturer code: 4.05001e+12)."
13,Bob Evans,"Food,Grocery","cooked enriched pasta (water, elbow macaroni (semolina (wheat), niacin, iron (ferrous sulfate), thiamin mononitrate, riboflavin, folic acid)),milk,water,pasteurized process cheese spread (american cheese (pasteurized milk, cheese culture, salt, enzymes), water, whey, sodium phosphate and/or whey protein concentrate, skim milk, contains less than 2 of the following: milkfat, salt, sodium-alginate, lactic acid, artificial color, apocaratenal (color)),cheese (cheddar cheese (pasteurized milk, cheese culture, salt, enzymes), water, salt, annatto (color)),margarine (liquid soybean oil, water, salt, hydrogenated cottonseed oil, soy lecithin, vegetable mono and diglycerides, artificial flavor, vitamin a palmitate),contains less than 2 of the following: modified food starch,salt.","BEF Foods, Inc.",531,Bob Evansï¿½Ï¿½ Tasteful Sidesï¿½Ï¿½Ï¿½ Macaroni & Cheese 28 Oz. Tray,"This product is a Bob Evansï¿½Ï¿½ Tasteful Sidesï¿½Ï¿½Ï¿½ Macaroni & Cheese 28 Oz. Tray from the brand Bob Evans. It falls under the category of food,grocery and contains ingredients such as cooked enriched pasta (water, elbow macaroni (semolina (wheat), niacin, iron (ferrous sulfate), thiamin mononitrate, riboflavin, folic acid)),milk,water,pasteurized process cheese spread (american cheese (pasteurized milk, cheese culture, salt, enzymes), water, whey, sodium phosphate and/or whey protein concentrate, skim milk, contains less than 2 of the following: milkfat, salt, sodium-alginate, lactic acid, artificial color, apocaratenal (color)),cheese (cheddar cheese (pasteurized milk, cheese culture, salt, enzymes), water, salt, annatto (color)),margarine (liquid soybean oil, water, salt, hydrogenated cottonseed oil, soy lecithin, vegetable mono and diglycerides, artificial flavor, vitamin a palmitate),contains less than 2 of the following: modified food starch,salt.. It is manufactured by bef foods, inc. (manufacturer code: 531)."
14,Nature's Path,"Food,Grocery","rolled oats*,cane sugar*,soy oil*,dried coconut*,white chocolate chunks* (cane sugar*, cocoa butter*, whole milk powder*, soy lecithin*, (non-gmo), vanilla extract*, ground vanilla*),freeze-dried pineapple*,rice starch*,sea salt,natural flavor,cinnamon*,tocopherols (vitamin e),. *organic.","Nature's Path Foods, Inc.",1085356,"Nature'S Path Organic Love Crunch Premium Organic Granola Aloha Blend, 11.5 Oz","This product is a Nature'S Path Organic Love Crunch Premium Organic Granola Aloha Blend, 11.5 Oz from the brand Nature's Path. It falls under the category of food,grocery and contains ingredients such as rolled oats*,cane sugar*,soy oil*,dried coconut*,white chocolate chunks* (cane sugar*, cocoa butter*, whole milk powder*, soy lecithin*, (non-gmo), vanilla extract*, ground vanilla*),freeze-dried pineapple*,rice starch*,sea salt,natural flavor,cinnamon*,tocopherols (vitamin e),. *organic.. It is manufactured by nature's path foods, inc. (manufacturer code: 1085356)."
15,Spice Islands,"Food,Grocery",garlic powder,Spice Island,4010000385,"Spice Islands: Powder Garlic, 2.25 Oz","This product is a Spice Islands: Powder Garlic, 2.25 Oz from the brand Spice Islands. It falls under the category of food,grocery and contains ingredients such as garlic powder. It is manufactured by spice island (manufacturer code: 4010000385)."
16,Iberia,"Food,Grocery","garlic,water,citric acid,sodium benzoate.",iberia foods corp.,10841,"Iberia Minced Garlic In Water, 1 Qt","This product is a Iberia Minced Garlic In Water, 1 Qt from the brand Iberia. It falls under the category of food,grocery and contains ingredients such as garlic,water,citric acid,sodium benzoate.. It is manufactured by iberia foods corp. (manufacturer code: 10841)."
17,Goya Food,"Food,Grocery","salt,monosodium,glutamate,sugar,hydrolyzed soy protein,malto dextrin,dehydrated vegetables (onion, garlic, celery and parsley),yeast extract,chicken fat,turmeric,chicken meat,caramel color,natural flavor,disodium inosinate and guanylate,silica (anticaking agent),.","GOYA FOODS, INC.",3241,"Goya Chicken Bouillon, 2.82 Oz","This product is a Goya Chicken Bouillon, 2.82 Oz from the brand Goya Food. It falls under the category of food,grocery and contains ingredients such as salt,monosodium,glutamate,sugar,hydrolyzed soy protein,malto dextrin,dehydrated vegetables (onion, garlic, celery and parsley),yeast extract,chicken fat,turmeric,chicken meat,caramel color,natural flavor,disodium inosinate and guanylate,silica (anticaking agent),.. It is manufactured by goya foods, inc. (manufacturer code: 3241)."
18,Badia Spice,"Food,Grocery",chopped oregano.,Badia Spices Co.,MCLANE500249730,Whole Oregano,"This product is a Whole Oregano from the brand Badia Spice. It falls under the category of food,grocery and contains ingredients such as chopped oregano.. It is manufactured by badia spices co. (manufacturer code: mclane500249730)."
19,Morton & Bassett,"Food,Grocery","contains: turmeric,fenugreek,coriander,mustard flour,cumin,gingerroot,black pepper,allspice,cayenne and fennel.",Morton and Bassett,44121,M&B Curry,"This product is a M&B Curry from the brand Morton & Bassett. It falls under the category of food,grocery and contains ingredients such as contains: turmeric,fenugreek,coriander,mustard flour,cumin,gingerroot,black pepper,allspice,cayenne and fennel.. It is manufactured by morton and bassett (manufacturer code: 44121)."
